Date,Home Team,Away Team
2025-01-26,Thunder,Trail Blazers
2025-01-27,Pistons,Cavaliers
2025-01-27,Lakers,Hornets
2025-01-27,Pelicans,Raptors
2025-01-27,Grizzlies,Knicks
2025-01-27,Magic,Heat
2025-01-27,Kings,Nets
2025-01-27,Rockets,Celtics
2025-01-27,Hawks,Timberwolves
2025-01-27,Nuggets,Bulls
2025-01-27,Wizards,Mavericks
2025-01-27,Bucks,Jazz
2025-01-27,Clippers,Suns
2025-01-28,Lakers,76ers
2025-01-28,Rockets,Hawks
2025-01-28,Bucks,Trail Blazers
2025-01-28,Jazz,Warriors
2025-01-29,Raptors,Wizards
2025-01-29,Pistons,Pacers
2025-01-29,Nets,Hornets
2025-01-29,Kings,76ers
2025-01-29,Nuggets,Knicks
2025-01-29,Cavaliers,Heat
2025-01-29,Bulls,Celtics
2025-01-29,Clippers,Spurs
2025-01-29,Mavericks,Pelicans
2025-01-29,Timberwolves,Suns
2025-01-29,Thunder,Warriors
2025-01-30,Hawks,Cavaliers
2025-01-30,Lakers,Wizards
2025-01-30,Timberwolves,Jazz
2025-01-30,Rockets,Grizzlies
2025-01-30,Magic,Trail Blazers
2025-01-31,Mavericks,Pistons
2025-01-31,Clippers,Hornets
2025-01-31,Bulls,Raptors
2025-01-31,Nuggets,76ers
2025-01-31,Bucks,Spurs
2025-01-31,Celtics,Pelicans
2025-01-31,Suns,Warriors
2025-02-01,Magic,Jazz
2025-02-01,Hawks,Pacers
2025-02-01,Nuggets,Hornets
2025-02-01,Kings,Thunder
2025-02-01,Wizards,Timberwolves
2025-02-01,Nets,Rockets
2025-02-01,Heat,Spurs
2025-02-01,Lakers,Knicks
2025-02-01,Suns,Trail Blazers
